,attacking,attacked,attack,support,neutral
146,3.0,96.0,0.5456929206848145,0.2676736712455749,0.18663331866264346
150,4.0,50.0,0.4700517356395722,0.4396883547306061,0.09025990962982178
160,4.0,60.0,0.9972420930862428,4.404486026032828e-05,0.002713975496590137
170,4.0,70.0,0.9972420930862428,4.404477658681572e-05,0.002713975496590137
177,4.0,77.0,0.9972419738769532,4.404485298437066e-05,0.0027139829471707344
184,4.0,84.0,0.4708380997180938,0.4388784766197205,0.09028349816799164
195,4.0,95.0,0.9972420930862428,4.404477658681572e-05,0.002713975496590137
196,4.0,96.0,0.5191314816474915,0.33676764369010925,0.14410093426704407
204,5.0,54.0,0.4382390379905701,0.5160185098648071,0.04574250057339668
208,5.0,58.0,0.7114428281784058,0.0700526088476181,0.21850453317165372
210,5.0,60.0,0.9996362924575806,6.344137659652915e-07,0.0003630765131674707
214,5.0,64.0,0.4382389783859253,0.5160185694694519,0.0457424521446228
218,5.0,68.0,0.7114430665969849,0.07005258649587631,0.2185044288635254
220,5.0,70.0,0.9996362924575806,6.344149596770876e-07,0.0003630768624134362
225,5.0,75.0,0.7114431262016296,0.07005254179239273,0.21850433945655826
227,5.0,77.0,0.9996362924575806,6.344137659652915e-07,0.00036307668779045343
236,5.0,86.0,0.4384470283985138,0.3586708605289459,0.20288212597370148
239,5.0,89.0,0.4382387399673462,0.5160187482833862,0.045742467045784004
243,5.0,93.0,0.7114430069923401,0.07005252689123154,0.21850445866584775
245,5.0,95.0,0.9996362924575806,6.344137659652915e-07,0.0003630765131674707
246,5.0,96.0,0.4054479598999024,0.4488338530063629,0.14571815729141235
260,6.0,60.0,0.9742816686630248,1.779938793333713e-05,0.025700518861413
270,6.0,70.0,0.9742816686630248,1.7799420675146393e-05,0.02570053748786449
277,6.0,77.0,0.9742817878723145,1.779940794222057e-05,0.025700509548187256
286,6.0,86.0,0.5722053647041321,0.08130011707544328,0.3464944958686829
295,6.0,95.0,0.9742816686630248,1.7799420675146393e-05,0.025700530037283897
296,6.0,96.0,0.3511784076690674,0.015598511323332788,0.6332229971885681
304,7.0,54.0,0.24387958645820615,0.5622779130935669,0.19384250044822693
310,7.0,60.0,0.9830862283706664,6.700197991449386e-05,0.01684674620628357
314,7.0,64.0,0.2438795268535614,0.5622780919075012,0.19384245574474332
320,7.0,70.0,0.9830862283706664,6.700204539811239e-05,0.016846721991896633
327,7.0,77.0,0.9830862283706664,6.700204539811239e-05,0.01684674620628357
336,7.0,86.0,0.5417622923851013,0.17246802151203156,0.2857697904109955
339,7.0,89.0,0.2438793331384659,0.5622782707214355,0.19384238123893735
345,7.0,95.0,0.9830862283706664,6.700191443087533e-05,0.016846729442477226
360,8.0,60.0,0.9846797585487366,0.00012184034858364612,0.015198349021375181
370,8.0,70.0,0.9846797585487366,0.00012184034858364612,0.015198355540633203
377,8.0,77.0,0.984679877758026,0.00012184013030491768,0.015198328532278538
386,8.0,86.0,0.2872799634933472,0.1882488429546356,0.5244711637496948
395,8.0,95.0,0.9846797585487366,0.00012184011575300246,0.015198355540633203
410,9.0,60.0,0.3609381020069122,0.15287922322750092,0.4861826896667481
420,9.0,70.0,0.3609379231929779,0.1528792679309845,0.4861828088760376
427,9.0,77.0,0.36093804240226746,0.15287916362285614,0.4861827492713928
445,9.0,95.0,0.3609378933906555,0.1528792530298233,0.4861829280853272
454,10.0,54.0,0.94540673494339,0.038590334355831146,0.016002941876649857
458,10.0,58.0,0.9118373394012452,0.002827634802088141,0.08533506095409392
460,10.0,60.0,0.9999879598617554,3.9137809659806077e-10,1.2032920494675635e-05
461,10.0,61.0,0.3294730484485626,0.010598696768283844,0.6599282622337341
464,10.0,64.0,0.9454064965248108,0.038590434938669205,0.016002999618649483
468,10.0,68.0,0.9118372201919556,0.0028276396915316577,0.08533520996570587
470,10.0,70.0,0.9999879598617554,3.9137809659806077e-10,1.2032920494675635e-05
471,10.0,71.0,0.32947346568107605,0.010598689317703249,0.6599278450012207
475,10.0,75.0,0.9118372201919556,0.002827641321346164,0.08533520996570587
477,10.0,77.0,0.9999879598617554,3.9137734719751904e-10,1.2032909580739215e-05
480,10.0,80.0,0.6699195504188538,0.001481261570006609,0.3285992443561554
486,10.0,86.0,0.8751692771911621,0.05577647686004639,0.06905417889356613
489,10.0,89.0,0.9454066157341005,0.03859037533402443,0.0160029698163271
493,10.0,93.0,0.9118372201919556,0.00282763852737844,0.08533516526222229
495,10.0,95.0,0.9999879598617554,3.9137809659806077e-10,1.2032920494675635e-05
496,10.0,96.0,0.8069961667060852,0.00430168304592371,0.18870219588279724
510,11.0,60.0,0.7928993701934814,0.00034877256257459516,0.20675186812877652
520,11.0,70.0,0.7928997278213501,0.0003487713984213769,0.20675146579742432
527,11.0,77.0,0.7928996682167053,0.0003487716894596815,0.20675154030323029
545,11.0,95.0,0.7928996086120605,0.0003487720096018165,0.20675161480903625
550,12.0,50.0,0.8714961409568787,0.0024999540764838453,0.1260039210319519
552,12.0,52.0,0.2060588300228119,0.00018216825264971703,0.7937589287757874
554,12.0,54.0,0.3593943417072296,0.5986713171005249,0.041934367269277566
558,12.0,58.0,0.5237689614295961,0.00014554729568772018,0.4760854542255402
559,12.0,59.0,0.6717770099639893,0.011331832036376001,0.3168911039829254
560,12.0,60.0,0.9322749376296996,0.00021763470431324092,0.06750744581222534
562,12.0,62.0,0.2132364809513092,0.0001800188038032502,0.7865835428237915
564,12.0,64.0,0.3593944609165192,0.5986711978912354,0.041934318840503686
568,12.0,68.0,0.5237693190574646,0.00014554767403751612,0.4760851263999939
569,12.0,69.0,0.6717759966850281,0.011331846937537192,0.3168921172618866
570,12.0,70.0,0.9322750568389891,0.00021763452969025818,0.06750739365816116
575,12.0,75.0,0.5237688422203064,0.00014554739755112678,0.4760856032371521
576,12.0,76.0,0.6717763543128967,0.011331859044730663,0.31689175963401794
577,12.0,77.0,0.9322749376296996,0.00021763492259196937,0.06750749796628952
582,12.0,82.0,0.6767361760139465,0.02125178463757038,0.30201202630996704
583,12.0,83.0,0.2867176830768585,0.0037083837669342756,0.7095738649368286
584,12.0,84.0,0.872979998588562,0.002536030951887369,0.12448392808437347
587,12.0,87.0,0.21035028994083405,0.00016699996194802225,0.7894827127456665
589,12.0,89.0,0.3593944311141968,0.5986712574958801,0.041934385895729065
593,12.0,93.0,0.5237693190574646,0.00014554723748005927,0.4760851263999939
594,12.0,94.0,0.671776533126831,0.01133184600621462,0.3168916404247284
595,12.0,95.0,0.9322749376296996,0.00021763492259196937,0.06750744581222534
596,12.0,96.0,0.26289427280426025,0.0010194702772423623,0.7360862493515015
600,13.0,50.0,0.9996077418327332,3.270840898039751e-05,0.0003595952875912189
610,13.0,60.0,0.9999997615814208,1.8992925276961611e-07,2.3720572173147048e-08
620,13.0,70.0,0.9999997615814208,1.8992996331235193e-07,2.3720662767345854e-08
627,13.0,77.0,0.9999997615814208,1.899307022767971e-07,2.3720662767345854e-08
632,13.0,82.0,0.2702678740024567,0.6943805813789368,0.035351503640413284
633,13.0,83.0,0.4184005260467529,0.0006617045728489758,0.5809378027915955
634,13.0,84.0,0.9996063113212584,3.295924034318887e-05,0.0003607612452469766
645,13.0,95.0,0.9999997615814208,1.8992888328739355e-07,2.3720572173147048e-08
646,13.0,96.0,0.7582376003265381,0.2395685166120529,0.0021937924902886152
650,14.0,50.0,0.995753049850464,0.002465387806296349,0.0017816359177231789
652,14.0,52.0,0.26876190304756165,0.38454797863960266,0.3466900885105133
658,14.0,58.0,0.61590975522995,0.08467088639736177,0.29941943287849426
659,14.0,59.0,0.9852633476257324,0.011273348703980446,0.003463282948359847
660,14.0,60.0,0.999725878238678,4.7308623152275686e-07,0.0002736704191192985
662,14.0,62.0,0.2717757225036621,0.3807597160339356,0.34746456146240234
668,14.0,68.0,0.6159093976020813,0.08467088639736177,0.29941964149475103
669,14.0,69.0,0.9852633476257324,0.011273343116044998,0.003463282948359847
670,14.0,70.0,0.999725878238678,4.7308395778600243e-07,0.00027366989525035024
675,14.0,75.0,0.6159095764160156,0.08467083424329758,0.29941964149475103
676,14.0,76.0,0.9852633476257324,0.01127338595688343,0.003463295986875892
677,14.0,77.0,0.999725878238678,4.730866578483983e-07,0.0002736704191192985
682,14.0,82.0,0.2492210865020752,0.5761557221412659,0.17462317645549774
683,14.0,83.0,0.4895761013031006,0.005157817155122757,0.5052661299705505
684,14.0,84.0,0.9956948757171632,0.002511640079319477,0.0017934499774128199
686,14.0,86.0,0.652610182762146,0.2600738108158112,0.08731598407030106
687,14.0,87.0,0.26944074034690857,0.3812865018844605,0.34927278757095337
693,14.0,93.0,0.6159099340438843,0.08467079699039459,0.2994192838668823
694,14.0,94.0,0.9852633476257324,0.011273381300270556,0.003463284578174353
695,14.0,95.0,0.999725878238678,4.73085776775406e-07,0.0002736704191192985
696,14.0,96.0,0.5452979803085327,0.04604135081171989,0.4086607098579407
700,15.0,50.0,0.9902297854423524,0.008429141715168953,0.0013410520041361453
708,15.0,58.0,0.5061980485916138,0.4848763346672058,0.008925600908696651
709,15.0,59.0,0.3031133711338043,0.6952563524246216,0.0016302438452839851
710,15.0,60.0,0.99999737739563,4.0924075506154617e-07,2.288141331519e-06
718,15.0,68.0,0.506197988986969,0.484876424074173,0.008925612084567547
719,15.0,69.0,0.3031142055988312,0.6952555179595947,0.0016302450094372034
720,15.0,70.0,0.99999737739563,4.0923995925368217e-07,2.2881390577822462e-06
725,15.0,75.0,0.5061981081962585,0.4848763048648834,0.008925597183406353
726,15.0,76.0,0.3031138479709625,0.6952558159828186,0.0016302448930218814
727,15.0,77.0,0.99999737739563,4.0923995925368217e-07,2.288141331519e-06
733,15.0,83.0,0.22087158262729645,0.04499359056353569,0.7341348528862
734,15.0,84.0,0.9900896549224854,0.008565741591155529,0.001344606513157487
736,15.0,86.0,0.4923113286495209,0.4968092441558838,0.010879412293434143
743,15.0,93.0,0.5061981678009033,0.4848762452602386,0.008925585076212883
744,15.0,94.0,0.3031143546104431,0.6952553987503052,0.00163024861831218
745,15.0,95.0,0.99999737739563,4.092391918675276e-07,2.288141331519e-06
746,15.0,96.0,0.8185493946075441,0.1592465043067932,0.02220410667359829
750,16.0,50.0,0.483449786901474,0.2070631682872772,0.3094870746135712
760,16.0,60.0,0.9941628575325012,0.0009603166254237293,0.0048768273554742345
770,16.0,70.0,0.9941628575325012,0.0009603184298612176,0.00487683666869998
777,16.0,77.0,0.9941628575325012,0.0009603166254237293,0.004876829218119383
784,16.0,84.0,0.4851948320865631,0.209986075758934,0.3048190772533417
786,16.0,86.0,0.43183287978172297,0.4523268640041351,0.11584021896123885
795,16.0,95.0,0.9941628575325012,0.0009603206999599934,0.004876843653619289
796,16.0,96.0,0.39267823100090027,0.1974726915359497,0.4098491072654724
810,17.0,60.0,0.9985336065292358,3.526673253873014e-06,0.0014627996133640409
820,17.0,70.0,0.9985336065292358,3.526686896293541e-06,0.0014628045028075574
827,17.0,77.0,0.9985336065292358,3.5266666600364265e-06,0.0014627989148721099
836,17.0,86.0,0.4190115034580231,0.3201392889022827,0.2608491778373718
845,17.0,95.0,0.9985336065292358,3.526673253873014e-06,0.0014628010103479028
850,18.0,50.0,0.3765496015548706,0.050254195928573615,0.5731961727142334
860,18.0,60.0,0.6834766864776611,0.29534274339675903,0.021180596202611927
861,18.0,61.0,0.31853365898132324,0.19940003752708435,0.4820663332939148
870,18.0,70.0,0.6834765076637268,0.29534289240837097,0.02118062600493431
871,18.0,71.0,0.3185337781906128,0.1994001716375351,0.4820661246776581
877,18.0,77.0,0.6834769248962402,0.2953424453735352,0.02118059433996677
878,18.0,78.0,0.3539232313632965,0.3879241943359375,0.25815248489379883
884,18.0,84.0,0.3712019324302673,0.051745887845754616,0.5770521759986877
886,18.0,86.0,0.355852335691452,0.2977767884731293,0.3463709354400635
895,18.0,95.0,0.6834769248962402,0.29534250497817993,0.021180599927902218
900,19.0,50.0,0.937533676624298,0.009290155954658985,0.05317618697881698
910,19.0,60.0,0.999822437763214,0.00010973404278047384,6.786072481190786e-05
920,19.0,70.0,0.999822437763214,0.00010973383905366064,6.786072481190786e-05
927,19.0,77.0,0.999822437763214,0.00010973425378324464,6.78605938446708e-05
934,19.0,84.0,0.9384300112724304,0.009232128970324991,0.052337829023599625
945,19.0,95.0,0.999822437763214,0.00010973425378324464,6.786079029552639e-05
950,20.0,50.0,0.4700256586074829,0.4397121071815491,0.0902622863650322
960,20.0,60.0,0.9972420930862428,4.4044689275324345e-05,0.0027139768935739994
970,20.0,70.0,0.9972420930862428,4.4044689275324345e-05,0.002713975496590137
977,20.0,77.0,0.9972420930862428,4.404481660458259e-05,0.00271397945471108
984,20.0,84.0,0.4708382189273834,0.4388783872127533,0.09028346836566924
995,20.0,95.0,0.9972420930862428,4.404473293107003e-05,0.002713975496590137
996,20.0,96.0,0.5191313624382019,0.3367677330970764,0.14410097897052765
1004,21.0,54.0,0.4382390081882477,0.5160185694694519,0.0457424521446228
1008,21.0,58.0,0.7114429473876953,0.0700526237487793,0.21850448846817014
1010,21.0,60.0,0.9996362924575806,6.3441433439948e-07,0.0003630768624134362
1014,21.0,64.0,0.4382388889789581,0.5160186886787415,0.04574242979288101
1018,21.0,68.0,0.7114430665969849,0.07005248963832855,0.2185044288635254
1020,21.0,70.0,0.9996362924575806,6.344137659652915e-07,0.0003630765131674707
1025,21.0,75.0,0.7114430665969849,0.07005257159471512,0.2185044288635254
1027,21.0,77.0,0.9996362924575806,6.344137659652915e-07,0.000363076338544488
1036,21.0,86.0,0.4384474456310272,0.3586704730987549,0.20288203656673431
1039,21.0,89.0,0.43823879957199097,0.5160187482833862,0.04574242606759072
1043,21.0,93.0,0.7114428281784058,0.07005257904529573,0.21850453317165372
1045,21.0,95.0,0.9996362924575806,6.344149596770876e-07,0.00036307668779045343
1046,21.0,96.0,0.40544822812080383,0.4488338530063629,0.14571785926818848
1060,22.0,60.0,0.9742816686630248,1.7799420675146393e-05,0.02570052444934845
1070,22.0,70.0,0.9742816686630248,1.779938793333713e-05,0.02570054866373539
1077,22.0,77.0,0.9742816686630248,1.7799369743443094e-05,0.0257005114108324
1086,22.0,86.0,0.5722051858901978,0.08130010962486267,0.34649476408958435
1095,22.0,95.0,0.9742816686630248,1.779938793333713e-05,0.025700541213154796
1096,22.0,96.0,0.351178377866745,0.015598556026816368,0.6332229971885681
1104,23.0,54.0,0.24387945234775546,0.5622780323028564,0.19384245574474332
1110,23.0,60.0,0.9830862283706664,6.700204539811239e-05,0.01684674620628357
1114,23.0,64.0,0.24387960135936734,0.5622779130935669,0.1938425600528717
1120,23.0,70.0,0.9830862283706664,6.700204539811239e-05,0.016846755519509315
1127,23.0,77.0,0.9830862283706664,6.700191443087533e-05,0.016846729442477226
1136,23.0,86.0,0.5417623519897461,0.172467902302742,0.2857697904109955
1139,23.0,89.0,0.24387963116168976,0.5622779130935669,0.1938425600528717
1145,23.0,95.0,0.9830862283706664,6.700204539811239e-05,0.01684674620628357
1160,24.0,60.0,0.9846797585487366,0.00012184011575300246,0.015198349021375181
1170,24.0,70.0,0.9846797585487366,0.00012184034858364612,0.0151983629912138
1177,24.0,77.0,0.9846797585487366,0.00012184034858364612,0.015198355540633203
1186,24.0,86.0,0.2872802019119263,0.18824878334999084,0.5244709849357605
1195,24.0,95.0,0.9846797585487366,0.00012184034858364612,0.015198384411633016
1210,25.0,60.0,0.3609378039836884,0.15287931263446808,0.4861828088760376
1220,25.0,70.0,0.36093807220458973,0.15287929773330688,0.4861826598644257
1227,25.0,77.0,0.3609381020069122,0.15287911891937256,0.4861828088760376
1245,25.0,95.0,0.3609378635883331,0.15287938714027405,0.4861828088760376
1254,26.0,54.0,0.9454066157341005,0.03859042376279831,0.01600297912955284
1258,26.0,58.0,0.9118372201919556,0.002827637130394578,0.0853351578116417
1260,26.0,60.0,0.9999879598617554,3.9137809659806077e-10,1.2032943232043179e-05
1261,26.0,61.0,0.3294732868671417,0.010598701424896715,0.6599279642105103
1264,26.0,64.0,0.9454064965248108,0.03859049826860428,0.016002999618649483
1268,26.0,68.0,0.9118372201919556,0.00282763852737844,0.0853351280093193
1270,26.0,70.0,0.9999879598617554,3.9137659779697737e-10,1.203288684337167e-05
1271,26.0,71.0,0.32947298884391785,0.010598712600767612,0.6599283814430237
1275,26.0,75.0,0.9118372201919556,0.002827637130394578,0.0853351578116417
1277,26.0,77.0,0.9999879598617554,3.9137809659806077e-10,1.2032920494675635e-05
1280,26.0,80.0,0.6699193120002747,0.001481258892454207,0.3285994529724121
1286,26.0,86.0,0.8751694560050964,0.055776461958885186,0.06905412673950195
1289,26.0,89.0,0.9454066157341005,0.03859036788344383,0.016002962365746498
1293,26.0,93.0,0.9118372201919556,0.00282763852737844,0.08533516526222229
1295,26.0,95.0,0.9999879598617554,3.9137659779697737e-10,1.2032897757308094e-05
1296,26.0,96.0,0.8069961667060852,0.004301681183278561,0.1887022405862808
1310,27.0,60.0,0.792899489402771,0.0003487724461592734,0.2067517340183258
1320,27.0,70.0,0.7928991913795471,0.0003487728245090693,0.2067520022392273
1327,27.0,77.0,0.792899489402771,0.0003487717767711728,0.2067517340183258
1345,27.0,95.0,0.7928996086120605,0.0003487725043669343,0.20675165951251984
1350,28.0,50.0,0.8714962601661682,0.0024999508168548346,0.12600381672382355
1352,28.0,52.0,0.20605869591236115,0.0001821677724365145,0.7937591075897217
1354,28.0,54.0,0.3593944311141968,0.5986711978912354,0.041934356093406684
1358,28.0,58.0,0.5237693190574646,0.00014554767403751612,0.4760851263999939
1359,28.0,59.0,0.671777069568634,0.011331822723150252,0.31689104437828064
1360,28.0,60.0,0.9322749376296996,0.00021763492259196937,0.06750743091106415
1362,28.0,62.0,0.21323667466640472,0.00018001858552452174,0.7865833044052124
1364,28.0,64.0,0.3593943417072296,0.5986713171005249,0.04193434864282608
1368,28.0,68.0,0.5237690806388855,0.00014554732479155064,0.476085364818573
1369,28.0,69.0,0.6717762947082521,0.01133184228092432,0.3168919086456299
1370,28.0,70.0,0.9322750568389891,0.00021763452969025818,0.06750740855932236
1375,28.0,75.0,0.5237691998481749,0.00014554736844729632,0.4760852456092834
1376,28.0,76.0,0.6717760562896729,0.011331847868859768,0.3168920874595642
1377,28.0,77.0,0.9322749376296996,0.00021763512631878257,0.06750748306512833
1382,28.0,82.0,0.6767362952232361,0.02125176787376404,0.3020119667053223
1383,28.0,83.0,0.28671795129776,0.003708382602781058,0.7095736265182495
1384,28.0,84.0,0.872979998588562,0.0025360332801938053,0.12448392808437347
1387,28.0,87.0,0.21034999191761014,0.0001670005003688857,0.7894830703735352
1389,28.0,89.0,0.35939425230026245,0.5986713767051697,0.04193434491753578
1393,28.0,93.0,0.5237690806388855,0.00014554747031070292,0.476085364818573
1394,28.0,94.0,0.6717764139175415,0.011331848800182344,0.3168916702270508
1395,28.0,95.0,0.9322750568389891,0.00021763495169579983,0.06750740855932236
1396,28.0,96.0,0.2628941833972931,0.0010194714413955808,0.7360863685607909
1400,29.0,50.0,0.9996077418327332,3.270834713475779e-05,0.0003595951129682362
1410,29.0,60.0,0.9999997615814208,1.8992925276961611e-07,2.3720572173147048e-08
1420,29.0,70.0,0.9999997615814208,1.8992925276961611e-07,2.3720618358424872e-08
1427,29.0,77.0,0.9999997615814208,1.8992888328739355e-07,2.3720572173147048e-08
1432,29.0,82.0,0.27026742696762085,0.6943811178207397,0.03535141423344612
1433,29.0,83.0,0.4184015095233917,0.0006617056205868722,0.5809367895126343
1434,29.0,84.0,0.9996063113212584,3.295924034318887e-05,0.00036076141986995935
1445,29.0,95.0,0.9999997615814208,1.89929608040984e-07,2.3720618358424872e-08
1446,29.0,96.0,0.7582374811172485,0.23956868052482605,0.002193795284256339
1450,30.0,50.0,0.995753049850464,0.0024653831496834755,0.0017816341714933515
1452,30.0,52.0,0.2687616944313049,0.38454800844192505,0.34669026732444763
1458,30.0,58.0,0.6159094572067261,0.08467090129852295,0.29941964149475103
1459,30.0,59.0,0.9852633476257324,0.011273358948528768,0.0034632862079888587
1460,30.0,60.0,0.999725878238678,4.730848672807042e-07,0.00027367015718482435
1462,30.0,62.0,0.2717754542827606,0.38075995445251465,0.34746456146240234
1468,30.0,68.0,0.6159102916717529,0.08467072248458862,0.2994189560413361
1469,30.0,69.0,0.9852633476257324,0.011273348703980446,0.0034632780589163303
1470,30.0,70.0,0.999725878238678,4.73085776775406e-07,0.00027367015718482435
1475,30.0,75.0,0.6159095764160156,0.08467090129852295,0.2994195222854614
1476,30.0,76.0,0.9852633476257324,0.011273343116044998,0.003463276429101825
1477,30.0,77.0,0.999725878238678,4.730848672807042e-07,0.00027367015718482435
1482,30.0,82.0,0.2492212653160095,0.5761556029319763,0.17462310194969174
1483,30.0,83.0,0.4895756542682648,0.0051578166894614705,0.505266547203064
1484,30.0,84.0,0.9956948757171632,0.002511640079319477,0.0017934534698724747
1486,30.0,86.0,0.6526105999946594,0.2600735127925873,0.0873158723115921
1487,30.0,87.0,0.2694406509399414,0.3812865018844605,0.3492729067802429
1493,30.0,93.0,0.6159095168113708,0.08467098325490953,0.2994195222854614
1494,30.0,94.0,0.9852633476257324,0.01127333752810955,0.003463274799287319
1495,30.0,95.0,0.999725878238678,4.7308623152275686e-07,0.0002736704191192985
1496,30.0,96.0,0.5452979803085327,0.046041440218687064,0.4086606204509735
1500,31.0,50.0,0.9902297854423524,0.008429141715168953,0.0013410552637651565
1508,31.0,58.0,0.5061983466148376,0.4848760962486267,0.008925587870180607
1509,31.0,59.0,0.3031134605407715,0.6952562928199768,0.001630245940759778
1510,31.0,60.0,0.99999737739563,4.0923839605966355e-07,2.2881367840454914e-06
1518,31.0,68.0,0.5061982870101929,0.4848761558532715,0.008925595320761206
1519,31.0,69.0,0.30311375856399536,0.6952559351921082,0.0016302437288686633
1520,31.0,70.0,0.99999737739563,4.092391918675276e-07,2.2881390577822462e-06
1525,31.0,75.0,0.506197988986969,0.4848764836788178,0.008925599977374077
1526,31.0,76.0,0.30311402678489685,0.6952557563781738,0.0016302438452839851
1527,31.0,77.0,0.99999737739563,4.0923839605966355e-07,2.288132463945658e-06
1533,31.0,83.0,0.22087158262729645,0.0449935793876648,0.7341348528862
1534,31.0,84.0,0.9900896549224854,0.008565736934542656,0.001344604534097016
1536,31.0,86.0,0.4923116266727448,0.4968090057373047,0.010879402048885822
1543,31.0,93.0,0.5061985254287721,0.4848759174346924,0.008925587870180607
1544,31.0,94.0,0.3031136095523834,0.6952560544013977,0.001630243961699307
1545,31.0,95.0,0.99999737739563,4.0923995925368217e-07,2.2881390577822462e-06
1546,31.0,96.0,0.8185492157936096,0.15924660861492154,0.02220410294830799
1550,32.0,50.0,0.483449786901474,0.20706315338611606,0.3094870150089264
1560,32.0,60.0,0.9941628575325012,0.0009603174985386431,0.0048768389970064155
1570,32.0,70.0,0.9941628575325012,0.0009603193029761314,0.004876832012087107
1577,32.0,77.0,0.9941628575325012,0.0009603202342987061,0.004876841325312853
1584,32.0,84.0,0.4851948916912079,0.20998606085777285,0.3048190772533417
1586,32.0,86.0,0.4318325817584992,0.4523271024227142,0.11584025621414185
1595,32.0,95.0,0.9941628575325012,0.0009603184298612176,0.004876834340393543
1596,32.0,96.0,0.39267823100090027,0.1974726766347885,0.40984907746315
1610,33.0,60.0,0.9985336065292358,3.526673253873014e-06,0.0014627989148721099
1620,33.0,70.0,0.9985336065292358,3.5266698432678827e-06,0.001462798216380179
1627,33.0,77.0,0.9985336065292358,3.5266598388261627e-06,0.001462796120904386
1636,33.0,86.0,0.4190115630626679,0.320139080286026,0.26084932684898376
1645,33.0,95.0,0.9985336065292358,3.526686896293541e-06,0.0014628052012994885
1650,34.0,50.0,0.37654975056648254,0.05025419220328331,0.5731959939002991
1660,34.0,60.0,0.6834767460823059,0.2953426539897919,0.021180618554353714
1661,34.0,61.0,0.31853362917900085,0.19940026104450226,0.4820660650730133
1670,34.0,70.0,0.6834770441055298,0.2953423261642456,0.02118060365319252
1671,34.0,71.0,0.318533718585968,0.199400007724762,0.4820662438869476
1677,34.0,77.0,0.683476448059082,0.2953429520130157,0.021180620416998863
1678,34.0,78.0,0.3539235591888428,0.387924075126648,0.25815242528915405
1684,34.0,84.0,0.3712022304534912,0.05174583569169045,0.5770519971847534
1686,34.0,86.0,0.3558520376682281,0.2977769076824188,0.346371054649353
1695,34.0,95.0,0.6834765672683716,0.2953427731990814,0.021180644631385803
1708,35.0,58.0,0.5139967799186707,0.288848340511322,0.19715498387813568
1710,35.0,60.0,0.9998803138732909,1.0420416174383718e-06,0.00011856128548970447
1718,35.0,68.0,0.5139966607093811,0.2888481616973877,0.197155237197876
1720,35.0,70.0,0.9998803138732909,1.0420445732961523e-06,0.0001185615110443905
1725,35.0,75.0,0.5139971375465393,0.28884795308113104,0.19715486466884613
1727,35.0,77.0,0.9998803138732909,1.0420466196592315e-06,0.00011856173659907654
1743,35.0,93.0,0.5139967203140259,0.2888481914997101,0.19715516269207
1745,35.0,95.0,0.9998803138732909,1.0420445732961523e-06,0.00011856173659907654
1760,36.0,60.0,0.9742816686630248,1.7799420675146393e-05,0.02570052444934845
1770,36.0,70.0,0.9742816686630248,1.7799406123231165e-05,0.025700530037283897
